lifeexpectancy,polityscore,employrate,urbanrate,suicideper100th,hivrate
48.673,0.0,55.7000007629394,24.04,6.68438529968262,
76.918,9.0,51.4000015258789,46.72,7.69932985305786,
73.131,2.0,50.5,65.22,4.8487696647644,0.1
,,,88.92,5.36217880249023,
51.093,-2.0,75.6999969482422,56.7,14.5546770095825,2.0
,,,30.46,2.16184329986572,
75.901,8.0,58.4000015258789,92.0,7.765584,0.5
74.241,5.0,40.0999984741211,63.86,3.74158787727356,0.1
75.246,,,46.78,,
81.907,10.0,61.5,88.74,8.4700301251191,0.1
80.854,10.0,57.0999984741211,67.16,13.09437,0.3
70.739,-7.0,60.9000015258789,51.92,1.38096463680267,0.1
75.62,,66.5999984741211,83.7,3.3744158744812,3.1
75.057,-7.0,60.4000015258789,88.52,4.41499042510986,
68.944,5.0,68.0999984741211,27.14,14.5383567810059,0.06
76.835,,66.9000015258789,39.84,3.10860252380371,1.4
70.349,-7.0,53.4000015258789,73.46,26.8746902951384,0.3
80.009,8.0,48.5999984741211,97.36,15.95385,0.2
76.072,,56.7999992370606,51.7,9.38879585266113,2.3
56.081,7.0,71.5999984741211,41.2,6.05773973464966,1.2
,,,100.0,,
67.185,3.0,58.4000015258789,34.48,15.5426025390625,0.2
66.618,7.0,70.4000015258789,65.58,2.0341784954071,0.2
75.67,,41.2000007629394,47.44,11.8367156982422,
53.183,8.0,46.0,59.58,11.2139701843262,24.8
73.488,8.0,64.5,85.58,4.777007,0.45
78.005,,63.7999992370606,74.82,1.37000155448914,
73.371,9.0,47.2999992370606,71.1,9.216544,0.1
55.439,0.0,81.3000030517578,19.56,8.20422172546387,1.2
50.411,6.0,83.1999969482422,10.4,14.6809358596802,3.3
63.125,2.0,78.9000015258789,21.56,4.96107149124146,0.5
51.61,-4.0,59.0999984741211,56.76,7.21422052383423,5.3
81.012,10.0,63.5,80.4,10.10099,0.2
74.156,,55.9000015258789,59.62,5.63333368301392,
,,,100.0,,
48.398,-1.0,71.3000030517578,38.58,13.5484199523926,4.7
49.553,-2.0,68.9000015258789,26.68,8.28307056427002,3.4
79.12,10.0,51.0,88.44,10.17187,0.4
73.456,-7.0,72.8000030517578,43.1,16.9132480621338,0.1
73.703,7.0,63.2000007629394,74.5,4.907702,0.5
61.061,9.0,68.0,28.08,4.7510838508606,0.1
48.397,5.0,66.1999969482422,33.96,14.713020324707,
57.379,-4.0,64.1999969482422,61.34,9.87376117706299,3.4
,,,,4.37336492538452,
79.311,10.0,58.5999984741211,63.26,6.597168,0.3
55.377,0.0,59.9000015258789,48.78,20.3179302215576,3.4
76.64,9.0,47.0999984741211,57.28,14.77625,0.06
79.143,-7.0,56.0,75.66,10.57191,0.1
79.591,10.0,59.0999984741211,69.9,2.206169,
77.685,8.0,56.0,73.5,12.36798,0.06
78.826,10.0,63.0999984741211,86.68,8.973104,0.2
57.937,2.0,,87.3,4.99347591400146,2.5
,,,73.92,5.83525085449219,
73.396,8.0,52.7000007629394,69.02,6.5195369720459,0.9
75.632,5.0,59.7000007629394,65.58,8.50468444824219,0.4
73.235,-3.0,42.4000015258789,42.72,1.79990363121033,0.06
72.196,8.0,58.2000007629394,60.7,7.304886,0.8
51.088,-5.0,61.7000007629394,39.38,10.1293497085571,5.0
61.597,-7.0,64.9000015258789,20.72,8.91336250305176,0.8
74.825,9.0,56.5,69.46,16.95924,1.2
59.274,1.0,80.6999969482422,17.0,10.0719423294067,
,,,41.42,,
69.245,-4.0,56.4000015258789,52.36,3.94025897979736,0.1
79.977,10.0,57.2000007629394,63.3,16.23437,0.1
81.539,9.0,51.2000007629394,77.36,14.09153,0.4
75.133,,,51.64,,
62.703,3.0,59.0,85.04,7.7450647354126,5.2
58.491,-5.0,71.6999969482422,56.42,6.44915676116943,2.0
73.737,6.0,55.5999984741211,52.74,1.57435011863708,0.1
80.414,10.0,53.5,73.64,9.211085,0.1
64.228,8.0,65.0999984741211,50.02,6.28855466842651,1.8
,,,,,
79.915,10.0,49.5999984741211,61.0,2.816705,0.1
,,,83.52,,
75.956,,,30.84,3.57647824287415,
79.839,,43.0999984741211,,,
76.142,,,93.16,,
71.172,8.0,62.7000007629394,48.58,2.234896,0.8
54.097,-1.0,81.5,34.44,7.44382619857788,1.3
48.132,6.0,65.9000015258789,29.84,7.56369209289551,2.5
69.927,6.0,58.9000015258789,28.38,35.752872467041,1.2
62.095,5.0,55.9000015258789,46.84,1.51924800872803,1.9
73.126,7.0,56.2999992370606,47.88,7.06018447875976,0.8
82.759,,59.0,100.0,,
74.414,10.0,47.2999992370606,67.5,20.16201,0.06
81.804,,73.5999984741211,92.26,11.4261808395386,0.3
65.438,9.0,55.4000015258789,29.54,18.5838260650635,0.3
69.366,8.0,61.5,51.46,11.3961114883423,0.2
72.974,-7.0,47.7999992370606,68.46,6.02188205718994,0.2
69.042,0.0,37.4000015258789,66.6,17.0326461791992,
80.557,10.0,59.9000015258789,61.34,10.36507,0.2
81.618,10.0,51.2999992370606,91.66,5.931845,0.2
81.855,10.0,46.4000015258789,68.08,4.93004450889753,0.3
73.127,9.0,58.2000007629394,53.3,4.41750717163086,1.7
83.394,10.0,57.2999992370606,66.48,18.94693,0.06
73.403,-3.0,38.9000015258789,78.42,0.20144872367382,
67.017,-6.0,63.7000007629394,57.94,25.4046,0.1
57.134,7.0,73.1999969482422,21.6,10.9377183914185,6.3
,,,43.84,,
68.846,-9.0,64.5999984741211,62.68,4.73567342758179,
80.642,8.0,58.9000015258789,81.46,22.40456,0.06
74.576,-7.0,65.6999969482422,98.36,1.49805742428412,
67.714,1.0,58.9000015258789,36.28,9.875281,0.3
67.484,-7.0,78.1999969482422,30.88,26.2191982269287,0.2
73.339,8.0,56.7999992370606,68.12,20.36959,0.7
72.64,7.0,46.0,86.96,5.8383150100708,0.1
48.196,8.0,56.2999992370606,25.46,7.85861921310425,23.6
56.786,6.0,66.0,60.14,7.18485260009766,1.5
74.788,-7.0,48.5999984741211,77.54,4.66702461242676,
,,,14.32,,
72.231,10.0,53.0999984741211,66.96,33.34186,0.1
79.963,,53.5,82.44,12.4059181213379,0.3
80.934,,63.5999984741211,100.0,,
74.847,9.0,34.9000015258789,66.9,7.87687826156616,
66.718,0.0,83.0,29.52,5.76740646362305,0.2
54.21,6.0,71.8000030517578,18.8,10.1717348098755,11.0
74.221,6.0,60.5,70.36,8.21106719970703,0.5
76.848,,56.9000015258789,37.86,22.353479385376,0.06
51.444,7.0,45.7000007629394,32.18,8.2628927230835,1.0
79.634,,46.7999992370606,94.26,4.5511212348938,0.1
,,,71.08,7.20238351821899,
80.499,,42.5,,,
58.582,-2.0,46.9000015258789,41.0,6.88295221328735,0.7
73.373,10.0,54.5,42.48,8.08154,1.0
76.954,8.0,57.9000015258789,77.2,4.288574,0.3
68.978,,,22.54,4.76226997375488,
69.317,8.0,44.2999992370606,41.76,15.53849,0.4
,,,100.0,11.1510725021362,
68.498,10.0,52.0999984741211,57.18,13.0896158218384,0.06
74.573,9.0,,60.18,,
72.15,-6.0,46.2000007629394,56.02,2.10941362380981,0.1
50.239,5.0,77.0,36.84,10.5503749847412,11.5
65.193,-6.0,74.6999969482422,32.58,10.1149969100952,0.6
62.465,6.0,42.0,36.84,8.02196979522705,13.1
,,,,4.07952547073364,
68.795,6.0,61.7999992370606,17.24,11.6552095413208,0.4
80.734,10.0,61.2999992370606,81.82,8.164005,0.2
76.652,,53.5,92.68,,
76.521,,,64.78,,
80.654,10.0,65.0,86.56,12.17976,0.1
74.044,9.0,58.7999992370606,56.74,12.1222686767578,0.2
54.675,-3.0,60.4000015258789,16.54,9.2579755783081,0.8
51.879,4.0,50.9000015258789,48.36,7.63104963302612,3.6
,,,,4.21707630157471,
81.097,10.0,65.0,77.48,10.823,0.1
72.974,-8.0,50.7000007629394,71.62,3.71673941612244,0.1
65.437,5.0,51.0,36.16,12.8698148727417,0.1
,,,80.46,5.55427646636963,
76.128,9.0,59.7999992370606,73.2,6.1052818998346,0.9
62.791,4.0,70.4000015258789,12.54,11.9569406509399,0.9
72.477,8.0,73.0999984741211,60.3,4.409532,0.3
73.99,9.0,68.3000030517578,71.4,1.65890777111053,0.4
68.749,8.0,61.0,64.92,1.92248511314392,0.06
76.126,10.0,48.7000007629394,61.32,13.63706,0.1
79.499,10.0,57.5999984741211,59.46,8.18837547302246,0.6
79.158,,42.4000015258789,98.32,,
78.371,-10.0,76.0,95.64,2.5157208442688,0.06
77.653,,44.2000007629394,,,
73.979,9.0,49.5,54.24,10.05932,0.1
68.823,4.0,58.7999992370606,72.84,27.87416,1.0
55.442,-3.0,79.8000030517578,18.34,13.1179485321045,2.9
,,,32.32,,
74.641,,,27.84,8.21094799041748,
72.283,,,47.04,9.59302711486816,
72.444,,,23.0,5.54232358932495,
,,,94.22,6.08767080307007,
64.666,,,60.56,10.4931497573853,
73.911,-10.0,51.2000007629394,82.42,6.40153789520264,
59.318,7.0,65.5999984741211,42.38,6.81143856048584,0.9
74.522,8.0,,52.04,13.71634,0.1
,,48.7000007629394,,14.4696483612061,
,,,54.34,9.50792789459228,
47.794,7.0,63.7999992370606,37.76,11.9804973602295,1.6
81.126,-2.0,62.4000015258789,100.0,9.127511,0.1
75.446,10.0,53.4000015258789,56.56,10.64574,0.06
79.341,10.0,55.9000015258789,48.6,19.42261,0.06
67.852,8.0,65.0,17.96,4.4847526550293,
51.219,0.0,66.0,36.52,29.864164352417,0.7
52.797,9.0,41.0999984741211,60.74,15.7145709991455,17.8
81.404,10.0,52.5,77.12,5.888479,0.4
74.941,6.0,55.0999984741211,15.1,28.1040458679199,0.06
61.452,-4.0,47.2999992370606,43.44,9.70955562591553,1.1
70.563,,44.7000007629394,74.92,20.7474308013916,1.0
48.718,-9.0,50.9000015258789,24.94,12.8722219467163,25.9
81.439,10.0,60.7000007629394,84.54,11.11583,0.1
82.338,10.0,64.3000030517578,73.48,13.23981,0.4
75.85,-7.0,44.7999992370606,54.22,0.52352756261826,
,10.0,54.5,,,
67.529,-3.0,54.5999984741211,26.46,2.64898085594177,0.2
58.199,-1.0,78.1999969482422,25.52,12.4111814498901,5.6
74.126,4.0,72.0,33.32,9.84745979309082,1.3
62.475,7.0,67.3000030517578,27.3,9.6331148147583,
57.062,-4.0,63.9000015258789,42.0,6.3698878288269,3.2
72.317,,,24.78,4.52785158157349,
70.124,10.0,61.5,13.22,14.5471668243408,1.5
74.515,-4.0,41.5999984741211,66.5,3.1468141078949,0.06
73.979,7.0,42.7999992370606,68.68,3.56332468986511,0.06
64.986,-9.0,58.5,48.62,12.2167692184448,
,,,,7.93481159210205,
54.116,-1.0,83.1999969482422,12.98,12.2891216278076,6.5
68.494,7.0,54.4000015258789,67.98,18.95457,1.1
76.546,-8.0,75.1999969482422,77.88,1.39295065402985,
80.17,10.0,59.2999992370606,89.94,6.014659,0.2
78.531,10.0,62.2999992370606,81.7,9.927033,0.6
77.005,10.0,57.5,92.3,14.53727,0.5
68.287,-9.0,57.5,36.82,5.21372,0.1
71.017,,,24.76,4.98342180252075,
74.402,-3.0,59.9000015258789,93.32,4.11962,
75.181,-7.0,71.0,27.84,11.6533222198486,0.4
72.832,,32.0,71.9,,
65.493,-2.0,39.0,30.64,6.26578903198242,
49.025,7.0,61.0,35.42,12.0190362930298,13.5
51.384,1.0,66.8000030517578,37.34,13.9052667617798,14.3
