lifeexpectancy,polityscore,employrate,urbanrate,suicideper100th,hivrate,demoscorecat,politycat
48.673,0,55.70000076,24.04,6.6843853,0.4,1,0
76.918,9,51.40000153,46.72,7.699329853,0.4,3,1
73.131,2,50.5,65.22,4.848769665,0.1,2,1
73.131,6,58.69999886,88.92,5.362178802,0.4,3,1
51.093,-2,75.69999695,56.7,14.55467701,2,1,0
73.131,6,58.69999886,30.46,2.1618433,0.4,3,1
75.901,8,58.40000153,92,7.765584,0.5,3,1
74.241,5,40.09999847,63.86,3.741587877,0.1,2,1
75.246,6,58.69999886,46.78,8.262892723,0.4,3,1
81.907,10,61.5,88.74,8.470030125,0.1,3,1
80.854,10,57.09999847,67.16,13.09437,0.3,3,1
70.739,-7,60.90000153,51.92,1.380964637,0.1,0,0
75.62,6,66.59999847,83.7,3.374415874,3.1,3,1
75.057,-7,60.40000153,88.52,4.414990425,0.4,0,0
68.944,5,68.09999847,27.14,14.53835678,0.06,2,1
76.835,6,66.90000153,39.84,3.108602524,1.4,3,1
70.349,-7,53.40000153,73.46,26.8746903,0.3,0,0
80.009,8,48.59999847,97.36,15.95385,0.2,3,1
76.072,6,56.79999924,51.7,9.388795853,2.3,3,1
56.081,7,71.59999847,41.2,6.057739735,1.2,3,1
73.131,6,58.69999886,100,8.262892723,0.4,3,1
67.185,3,58.40000153,34.48,15.54260254,0.2,2,1
66.618,7,70.40000153,65.58,2.034178495,0.2,3,1
75.67,6,41.20000076,47.44,11.8367157,0.4,3,1
53.183,8,46,59.58,11.21397018,24.8,3,1
73.488,8,64.5,85.58,4.777007,0.45,3,1
78.005,6,63.79999924,74.82,1.370001554,0.4,3,1
73.371,9,47.29999924,71.1,9.216544,0.1,3,1
55.439,0,81.30000305,19.56,8.204221725,1.2,1,0
50.411,6,83.19999695,10.4,14.68093586,3.3,3,1
63.125,2,78.90000153,21.56,4.961071491,0.5,2,1
51.61,-4,59.09999847,56.76,7.214220524,5.3,1,0
81.012,10,63.5,80.4,10.10099,0.2,3,1
74.156,6,55.90000153,59.62,5.633333683,0.4,3,1
73.131,6,58.69999886,100,8.262892723,0.4,3,1
48.398,-1,71.30000305,38.58,13.54841995,4.7,1,0
49.553,-2,68.90000153,26.68,8.283070564,3.4,1,0
79.12,10,51,88.44,10.17187,0.4,3,1
73.456,-7,72.80000305,43.1,16.91324806,0.1,0,0
73.703,7,63.20000076,74.5,4.907702,0.5,3,1
61.061,9,68,28.08,4.751083851,0.1,3,1
48.397,5,66.19999695,33.96,14.71302032,0.4,2,1
57.379,-4,64.19999695,61.34,9.873761177,3.4,1,0
73.131,6,58.69999886,57.94,4.373364925,0.4,3,1
79.311,10,58.59999847,63.26,6.597168,0.3,3,1
55.377,0,59.90000153,48.78,20.31793022,3.4,1,0
76.64,9,47.09999847,57.28,14.77625,0.06,3,1
79.143,-7,56,75.66,10.57191,0.1,0,0
79.591,10,59.09999847,69.9,2.206169,0.4,3,1
77.685,8,56,73.5,12.36798,0.06,3,1
78.826,10,63.09999847,86.68,8.973104,0.2,3,1
57.937,2,58.69999886,87.3,4.993475914,2.5,2,1
73.131,6,58.69999886,73.92,5.835250854,0.4,3,1
73.396,8,52.70000076,69.02,6.519536972,0.9,3,1
75.632,5,59.70000076,65.58,8.504684448,0.4,2,1
73.235,-3,42.40000153,42.72,1.799903631,0.06,1,0
72.196,8,58.20000076,60.7,7.304886,0.8,3,1
51.088,-5,61.70000076,39.38,10.12934971,5,0,0
61.597,-7,64.90000153,20.72,8.913362503,0.8,0,0
74.825,9,56.5,69.46,16.95924,1.2,3,1
59.274,1,80.69999695,17,10.07194233,0.4,2,1
73.131,6,58.69999886,41.42,8.262892723,0.4,3,1
69.245,-4,56.40000153,52.36,3.94025898,0.1,1,0
79.977,10,57.20000076,63.3,16.23437,0.1,3,1
81.539,9,51.20000076,77.36,14.09153,0.4,3,1
75.133,6,58.69999886,51.64,8.262892723,0.4,3,1
62.703,3,59,85.04,7.745064735,5.2,2,1
58.491,-5,71.69999695,56.42,6.449156761,2,0,0
73.737,6,55.59999847,52.74,1.574350119,0.1,3,1
80.414,10,53.5,73.64,9.211085,0.1,3,1
64.228,8,65.09999847,50.02,6.288554668,1.8,3,1
73.131,6,58.69999886,57.94,8.262892723,0.4,3,1
79.915,10,49.59999847,61,2.816705,0.1,3,1
73.131,6,58.69999886,83.52,8.262892723,0.4,3,1
75.956,6,58.69999886,30.84,3.576478243,0.4,3,1
79.839,6,43.09999847,57.94,8.262892723,0.4,3,1
76.142,6,58.69999886,93.16,8.262892723,0.4,3,1
71.172,8,62.70000076,48.58,2.234896,0.8,3,1
54.097,-1,81.5,34.44,7.443826199,1.3,1,0
48.132,6,65.90000153,29.84,7.563692093,2.5,3,1
69.927,6,58.90000153,28.38,35.75287247,1.2,3,1
62.095,5,55.90000153,46.84,1.519248009,1.9,2,1
73.126,7,56.29999924,47.88,7.060184479,0.8,3,1
82.759,6,59,100,8.262892723,0.4,3,1
74.414,10,47.29999924,67.5,20.16201,0.06,3,1
81.804,6,73.59999847,92.26,11.42618084,0.3,3,1
65.438,9,55.40000153,29.54,18.58382607,0.3,3,1
69.366,8,61.5,51.46,11.39611149,0.2,3,1
72.974,-7,47.79999924,68.46,6.021882057,0.2,0,0
69.042,0,37.40000153,66.6,17.03264618,0.4,1,0
80.557,10,59.90000153,61.34,10.36507,0.2,3,1
81.618,10,51.29999924,91.66,5.931845,0.2,3,1
81.855,10,46.40000153,68.08,4.930044509,0.3,3,1
73.127,9,58.20000076,53.3,4.417507172,1.7,3,1
83.394,10,57.29999924,66.48,18.94693,0.06,3,1
73.403,-3,38.90000153,78.42,0.201448724,0.4,1,0
67.017,-6,63.70000076,57.94,25.4046,0.1,0,0
57.134,7,73.19999695,21.6,10.93771839,6.3,3,1
73.131,6,58.69999886,43.84,8.262892723,0.4,3,1
68.846,-9,64.59999847,62.68,4.735673428,0.4,0,0
80.642,8,58.90000153,81.46,22.40456,0.06,3,1
74.576,-7,65.69999695,98.36,1.498057424,0.4,0,0
67.714,1,58.90000153,36.28,9.875281,0.3,2,1
67.484,-7,78.19999695,30.88,26.21919823,0.2,0,0
73.339,8,56.79999924,68.12,20.36959,0.7,3,1
72.64,7,46,86.96,5.83831501,0.1,3,1
48.196,8,56.29999924,25.46,7.858619213,23.6,3,1
56.786,6,66,60.14,7.1848526,1.5,3,1
74.788,-7,48.59999847,77.54,4.667024612,0.4,0,0
73.131,6,58.69999886,14.32,8.262892723,0.4,3,1
72.231,10,53.09999847,66.96,33.34186,0.1,3,1
79.963,6,53.5,82.44,12.40591812,0.3,3,1
80.934,6,63.59999847,100,8.262892723,0.4,3,1
74.847,9,34.90000153,66.9,7.876878262,0.4,3,1
66.718,0,83,29.52,5.767406464,0.2,1,0
54.21,6,71.80000305,18.8,10.17173481,11,3,1
74.221,6,60.5,70.36,8.2110672,0.5,3,1
76.848,6,56.90000153,37.86,22.35347939,0.06,3,1
51.444,7,45.70000076,32.18,8.262892723,1,3,1
79.634,6,46.79999924,94.26,4.551121235,0.1,3,1
73.131,6,58.69999886,71.08,7.202383518,0.4,3,1
80.499,6,42.5,57.94,8.262892723,0.4,3,1
58.582,-2,46.90000153,41,6.882952213,0.7,1,0
73.373,10,54.5,42.48,8.08154,1,3,1
76.954,8,57.90000153,77.2,4.288574,0.3,3,1
68.978,6,58.69999886,22.54,4.762269974,0.4,3,1
69.317,8,44.29999924,41.76,15.53849,0.4,3,1
73.131,6,58.69999886,100,11.1510725,0.4,3,1
68.498,10,52.09999847,57.18,13.08961582,0.06,3,1
74.573,9,58.69999886,60.18,8.262892723,0.4,3,1
72.15,-6,46.20000076,56.02,2.109413624,0.1,0,0
50.239,5,77,36.84,10.55037498,11.5,2,1
65.193,-6,74.69999695,32.58,10.11499691,0.6,0,0
62.465,6,42,36.84,8.021969795,13.1,3,1
73.131,6,58.69999886,57.94,4.079525471,0.4,3,1
68.795,6,61.79999924,17.24,11.65520954,0.4,3,1
80.734,10,61.29999924,81.82,8.164005,0.2,3,1
76.652,6,53.5,92.68,8.262892723,0.4,3,1
76.521,6,58.69999886,64.78,8.262892723,0.4,3,1
80.654,10,65,86.56,12.17976,0.1,3,1
74.044,9,58.79999924,56.74,12.12226868,0.2,3,1
54.675,-3,60.40000153,16.54,9.257975578,0.8,1,0
51.879,4,50.90000153,48.36,7.631049633,3.6,2,1
73.131,6,58.69999886,57.94,4.217076302,0.4,3,1
81.097,10,65,77.48,10.823,0.1,3,1
72.974,-8,50.70000076,71.62,3.716739416,0.1,0,0
65.437,5,51,36.16,12.86981487,0.1,2,1
73.131,6,58.69999886,80.46,5.554276466,0.4,3,1
76.128,9,59.79999924,73.2,6.1052819,0.9,3,1
62.791,4,70.40000153,12.54,11.95694065,0.9,2,1
72.477,8,73.09999847,60.3,4.409532,0.3,3,1
73.99,9,68.30000305,71.4,1.658907771,0.4,3,1
68.749,8,61,64.92,1.922485113,0.06,3,1
76.126,10,48.70000076,61.32,13.63706,0.1,3,1
79.499,10,57.59999847,59.46,8.188375473,0.6,3,1
79.158,6,42.40000153,98.32,8.262892723,0.4,3,1
78.371,-10,76,95.64,2.515720844,0.06,0,0
77.653,6,44.20000076,57.94,8.262892723,0.4,3,1
73.979,9,49.5,54.24,10.05932,0.1,3,1
68.823,4,58.79999924,72.84,27.87416,1,2,1
55.442,-3,79.80000305,18.34,13.11794853,2.9,1,0
73.131,6,58.69999886,32.32,8.262892723,0.4,3,1
74.641,6,58.69999886,27.84,8.21094799,0.4,3,1
72.283,6,58.69999886,47.04,9.593027115,0.4,3,1
72.444,6,58.69999886,23,5.542323589,0.4,3,1
73.131,6,58.69999886,94.22,6.087670803,0.4,3,1
64.666,6,58.69999886,60.56,10.49314976,0.4,3,1
73.911,-10,51.20000076,82.42,6.401537895,0.4,0,0
59.318,7,65.59999847,42.38,6.81143856,0.9,3,1
74.522,8,58.69999886,52.04,13.71634,0.1,3,1
73.131,6,48.70000076,57.94,14.46964836,0.4,3,1
73.131,6,58.69999886,54.34,9.507927895,0.4,3,1
47.794,7,63.79999924,37.76,11.98049736,1.6,3,1
81.126,-2,62.40000153,100,9.127511,0.1,1,0
75.446,10,53.40000153,56.56,10.64574,0.06,3,1
79.341,10,55.90000153,48.6,19.42261,0.06,3,1
67.852,8,65,17.96,4.484752655,0.4,3,1
51.219,0,66,36.52,29.86416435,0.7,1,0
52.797,9,41.09999847,60.74,15.714571,17.8,3,1
81.404,10,52.5,77.12,5.888479,0.4,3,1
74.941,6,55.09999847,15.1,28.10404587,0.06,3,1
61.452,-4,47.29999924,43.44,9.709555626,1.1,1,0
70.563,6,44.70000076,74.92,20.7474308,1,3,1
48.718,-9,50.90000153,24.94,12.87222195,25.9,0,0
81.439,10,60.70000076,84.54,11.11583,0.1,3,1
82.338,10,64.30000305,73.48,13.23981,0.4,3,1
75.85,-7,44.79999924,54.22,0.523527563,0.4,0,0
73.131,10,54.5,57.94,8.262892723,0.4,3,1
67.529,-3,54.59999847,26.46,2.648980856,0.2,1,0
58.199,-1,78.19999695,25.52,12.41118145,5.6,1,0
74.126,4,72,33.32,9.847459793,1.3,2,1
62.475,7,67.30000305,27.3,9.633114815,0.4,3,1
57.062,-4,63.90000153,42,6.369887829,3.2,1,0
72.317,6,58.69999886,24.78,4.527851582,0.4,3,1
70.124,10,61.5,13.22,14.54716682,1.5,3,1
74.515,-4,41.59999847,66.5,3.146814108,0.06,1,0
73.979,7,42.79999924,68.68,3.56332469,0.06,3,1
64.986,-9,58.5,48.62,12.21676922,0.4,0,0
73.131,6,58.69999886,57.94,7.934811592,0.4,3,1
54.116,-1,83.19999695,12.98,12.28912163,6.5,1,0
68.494,7,54.40000153,67.98,18.95457,1.1,3,1
76.546,-8,75.19999695,77.88,1.392950654,0.4,0,0
80.17,10,59.29999924,89.94,6.014659,0.2,3,1
78.531,10,62.29999924,81.7,9.927033,0.6,3,1
77.005,10,57.5,92.3,14.53727,0.5,3,1
68.287,-9,57.5,36.82,5.21372,0.1,0,0
71.017,6,58.69999886,24.76,4.983421803,0.4,3,1
74.402,-3,59.90000153,93.32,4.11962,0.4,1,0
75.181,-7,71,27.84,11.65332222,0.4,0,0
72.832,6,32,71.9,8.262892723,0.4,3,1
65.493,-2,39,30.64,6.265789032,0.4,1,0
49.025,7,61,35.42,12.01903629,13.5,3,1
51.384,1,66.80000305,37.34,13.90526676,14.3,2,1
